imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"""Urban Enchantment""","https://www.saatchiart.com/art/Painting-Urban-Enchantment/710107/2961140/view","""Urban Enchantment""","Tatiana Iliina","Canada","14","18","265","643","27","Cities","Acrylic","1451606400000"
"Rose","https://www.saatchiart.com/art/Painting-Rose/703229/3024689/view","Rose","Artist-painter Tone","Canada","20","15","265","325","12","Floral","Spray Paint","1451606400000"
"Pink","https://www.saatchiart.com/art/Painting-Pink/153295/3255956/view","Pink","Andreea Bianca Velcsov","United States","15","11","200","406","6","Abstract","Oil","1451606400000"
"Class Clown","https://www.saatchiart.com/art/Painting-Class-Clown/867774/2899425/view","Class Clown","Shellie Garber","United States","24","18","240","1353","33","Abstract","Acrylic","1451520000000"
"Poppy","https://www.saatchiart.com/art/Painting-Poppy/867774/3482577/view","Poppy","Shellie Garber","United States","14","11","190","157","8","Floral","Acrylic","1489536000000"
"Fig","https://www.saatchiart.com/art/Painting-Fig/8982/3449410/view","Fig","Tomas Castano","Spain","7","7","290","111","16","Food & Drink","Oil","1293840000000"
"Marshy composition","https://www.saatchiart.com/art/Painting-Marshy-composition/404232/2865113/view","Marshy composition","Nicole Fossi","United States","14","11","240","288","19","Nature","Oil","1420070400000"
"Portrait 01","https://www.saatchiart.com/art/Painting-Portrait-01/343114/3111036/view","Portrait 01","MILAN ZULIC","Serbia","4","3","178","462","12","Portrait","Tempera, Color, New Media, paint on photography","1451606400000"
"Meet Halfway, Book 11 #1","https://www.saatchiart.com/art/Painting-Meet-Halfway-Book-11-1/599547/3269611/view","Meet Halfway, Book 11 #1","Heather Goodwind","United States","8","5","290","498","30","Love","Acrylic, Graphite, Ink, Paper","1199145600000"
"TIME TO BLOOM","https://www.saatchiart.com/art/Painting-TIME-TO-BLOOM/427067/3209919/view","TIME TO BLOOM","Emilia Milcheva","Bulgaria","18","18","260","156","8","Landscape","Oil","1451606400000"
"Watermelon","https://www.saatchiart.com/art/Painting-Watermelon/885241/3538652/view","Watermelon","Jane Palmer","United Kingdom","11","11","160","48","4","Still Life","Oil","1492041600000"
"Two Leaves","https://www.saatchiart.com/art/Painting-Two-Leaves/833929/3345549/view","Two Leaves","Elizabeth Becker","United States","9","12","225","121","8","Nature","Ink","1451606400000"
"Abstract #15","https://www.saatchiart.com/art/Painting-Abstract-15/867582/3033823/view","Abstract #15","Shari Replogle","United States","9","12","140","538","14","Abstract","Gouache, Watercolor, Paint, Paper, Ink","1451606400000"
"untitled S","https://www.saatchiart.com/art/Painting-untitled-S/12068/3503106/view","untitled S","Anna McNeil","United Kingdom","8","5","220","73","6","People","Acrylic","1451606400000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/881958/2967640/view","Untitled","Ka D'o","Italy","39","27","155","322","26","Body","Acrylic, Gouache, Tempera","1432252800000"
"Girl with cigarette","https://www.saatchiart.com/art/Painting-Girl-with-cigarette/56712/2732305/view","Girl with cigarette","Nelly van Nieuwenhuijzen","Netherlands","11","11","295","1215","21","Women","Acrylic","1420070400000"
"Inside Red Green","https://www.saatchiart.com/art/Painting-Inside-Red-Green/651131/2656584/view","Inside Red Green","Sylvie Moncion","Canada","10","8","190","600","13","Nature","Acrylic","1388534400000"
"The Old Ferry House","https://www.saatchiart.com/art/Painting-The-Old-Ferry-House/740781/2254598/view","The Old Ferry House","Erica Hyatt Patberg","Netherlands","7","7","240","399","13","Home","Oil","1409356800000"
"whisper","https://www.saatchiart.com/art/Painting-whisper/870742/3502998/view","whisper","Karen McKenzie  Williams","Australia","14","10","220","26","1","Abstract","Acrylic, Spray Paint","1483228800000"
"Journey 805","https://www.saatchiart.com/art/Painting-Journey-805/750306/3265633/view","Journey 805","Margit Hideg","Canada","10","10","215","168","6","Nature","Acrylic, Ink","1451606400000"
"at the lakeside VI","https://www.saatchiart.com/art/Painting-at-the-lakeside-VI/675544/3094293/view","at the lakeside VI","Violeta Vollmer","Germany","11","11","210","226","10","Floral","Acrylic","1451606400000"
"Arbre","https://www.saatchiart.com/art/Painting-Arbre/34815/2729012/view","Arbre","Philippe Jacquot","France","7","7","290","1321","14","Tree","Oil","1446854400000"
"Book 12 #6","https://www.saatchiart.com/art/Painting-Book-12-6/599547/2626441/view","Book 12 #6","Heather Goodwind","United States","8","5","290","1226","33","Boat","Acrylic","1328054400000"
"Monochrome sunrise","https://www.saatchiart.com/art/Painting-Monochrome-sunrise/707989/3191560/view","Monochrome sunrise","Silja Po","Latvia","19","15","250","214","13","Seascape","Acrylic","1451606400000"
"Blue irises","https://www.saatchiart.com/art/Painting-Blue-irises/781213/2452415/view","Blue irises","Irina Afonskaya","Bulgaria","8","5","190","924","30","Floral","Watercolor","1262304000000"
"Miami Beach #1","https://www.saatchiart.com/art/Painting-Miami-Beach-1/796950/2528836/view","Miami Beach #1","Celeste Plowden","United States","12","12","190","746","15","Abstract","Acrylic","1434758400000"
"Potty Mouth Jr.","https://www.saatchiart.com/art/Painting-Potty-Mouth-Jr/786366/2686669/view","Potty Mouth Jr.","Noah Huber","United States","24","20","330","518","26","Portrait","Acrylic","1436918400000"
"Grand Canyon, Landscape oil Painting by Palette Knife, Signed","https://www.saatchiart.com/art/Painting-Grand-Canyon-Landscape-oil-Painting-by-Palette-Knife-Signed/503607/3486285/view","Grand Canyon, Landscape oil Painting by Palette Knife, Signed","Vahe Yeremyan","United States","14","14","290","230","15","Landscape","Oil","1483228800000"
"Kitchen art, Still life, Oil Painting on canvas, artist: Konstantin Javakhyan","https://www.saatchiart.com/art/Painting-Kitchen-art-Still-life-Oil-Painting-on-canvas-artist-Konstantin-Javakhyan/889704/3258085/view","Kitchen art, Still life, Oil Painting on canvas, artist: Konstantin Javakhyan","Vayer Art","United States","9","12","185","537","22","Still Life","Oil","1451606400000"
"Fullmoon","https://www.saatchiart.com/art/Painting-Fullmoon/726605/2146416/view","Fullmoon","ΑγγελικΗ Ageliki","Greece","15","15","240","1124","33","Seascape","Oil","1388534400000"
"loneliness","https://www.saatchiart.com/art/Painting-loneliness/859770/3520134/view","loneliness","Zahar Shevchyk","Ukraine","16","13","290","47","1","Still Life","Oil","1420070400000"
"spanich eyes","https://www.saatchiart.com/art/Painting-spanich-eyes/882663/2983398/view","spanich eyes","Joel Imen","","15","11","300","733","12","Portrait","Acrylic, Paper, Ink","1451606400000"
"Terra incognita I.","https://www.saatchiart.com/art/Painting-Terra-incognita-I/880569/3164097/view","Terra incognita I.","Sejben Lajos","Hungary","8","8","290","278","9","Landscape","Oil","1451606400000"
"Fragmentos VII","https://www.saatchiart.com/art/Painting-Fragmentos-VII/779693/2425756/view","Fragmentos VII","Enea theart","Spain","17","12","255","811","9","Women","Watercolor","1293840000000"
"The white Orchid","https://www.saatchiart.com/art/Painting-The-white-Orchid/891798/3057563/view","The white Orchid","Gajane Jengojan","Austria","15","15","220","160","5","Floral","Acrylic","1136073600000"
"Lips #1","https://www.saatchiart.com/art/Painting-Lips-1/737199/3433083/view","Lips #1","Valeria Andreis","Italy","3","3","135","292","26","Body","Oil","1451606400000"
"""Cactus""","https://www.saatchiart.com/art/Painting-Cactus/85770/1595183/view","""Cactus""","Dan Adams","United States","8","8","240","1152","13","Still Life","Oil","1343865600000"
"Tres Mesas","https://www.saatchiart.com/art/Painting-Tres-Mesas/328597/2600288/view","Tres Mesas","Cory McKee","United States","32","22","355","346","13","Abstract","Acrylic","1420070400000"
"Woman","https://www.saatchiart.com/art/Painting-Woman/716761/3208281/view","Woman","B A H M A N","France","7","5","270","790","28","Portrait","Watercolor","1451606400000"
"tree with man","https://www.saatchiart.com/art/Painting-tree-with-man/335494/2567445/view","tree with man","SANTHOSH C H","India","11","9","270","1362","42","Nature","Ink, Watercolor","1377216000000"
"The Shore","https://www.saatchiart.com/art/Painting-The-Shore/881571/3144038/view","The Shore","Melissa Marquardt","United States","12","12","280","236","26","Abstract","Acrylic","1451606400000"
"White and inquisitive","https://www.saatchiart.com/art/Painting-White-and-inquisitive/425625/3079943/view","White and inquisitive","Olga Flerova","Russia","14","11","245","835","32","Nature","Watercolor","1451606400000"
"Layers VII","https://www.saatchiart.com/art/Painting-Layers-VII/831696/2960345/view","Layers VII","Ronaldo Weigand","Brazil","31","31","310","320","19","Abstract","Acrylic","1432512000000"
"Glowing sunset","https://www.saatchiart.com/art/Painting-Glowing-sunset/56712/2638385/view","Glowing sunset","Nelly van Nieuwenhuijzen","Netherlands","11","11","295","1219","46","Landscape","Acrylic","1420070400000"
"Afternoon light near Mullumbimby","https://www.saatchiart.com/art/Painting-Afternoon-light-near-Mullumbimby/743037/3403605/view","Afternoon light near Mullumbimby","Christopher Vidal","Australia","7","9","190","124","7","Landscape","Oil","1483228800000"
"The ice is melting","https://www.saatchiart.com/art/Painting-The-ice-is-melting/821448/3392598/view","The ice is melting","Emma Burleigh","United Kingdom","8","11","145","90","8","Abstract","Watercolor","1483228800000"
"snowy hills","https://www.saatchiart.com/art/Painting-snowy-hills/389236/3446412/view","snowy hills","Catalin Ilinca","Spain","11","11","150","77","5","Abstract","Oil, Acrylic, Pencil","1483228800000"
"Ring","https://www.saatchiart.com/art/Painting-Ring/24636/3297828/view","Ring","Michael Pfleghaar","United States","15","11","240","310","12","Abstract","Acrylic","1451606400000"
"Winter","https://www.saatchiart.com/art/Painting-Winter/906176/3260964/view","Winter","Charlene Shih","United States","8","8","185","94","7","Nature","wax , Charcoal","1451606400000"
"Stormy Tea Cup No. 2","https://www.saatchiart.com/art/Painting-Stormy-Tea-Cup-No-2/841947/3357714/view","Stormy Tea Cup No. 2","Tammy Silbermann","Canada","6","6","155","853","62","Food & Drink","Oil","1420070400000"
"19mm x 50m 16","https://www.saatchiart.com/art/Painting-19mm-x-50m-16/126029/2060652/view","19mm x 50m 16","Dragomir Misina","United Kingdom","4","4","190","1466","22","Abstract","Acrylic","1401580800000"
"Lovely winter landscape","https://www.saatchiart.com/art/Painting-Lovely-winter-landscape/680585/2242747/view","Lovely winter landscape","Elena Lukina","Latvia","15","19","290","1001","17","Landscape","Oil","1388534400000"
"China landscape in violet colours","https://www.saatchiart.com/art/Painting-China-landscape-in-violet-colours/781213/2470930/view","China landscape in violet colours","Irina Afonskaya","Bulgaria","11","8","240","461","8","Landscape","Watercolor","1340668800000"
"circle 21","https://www.saatchiart.com/art/Painting-circle-21/335494/3144208/view","circle 21","SANTHOSH C H","India","12","12","290","325","10","Geometric","Watercolor, Ink","1451606400000"
"Ursus 14","https://www.saatchiart.com/art/Painting-Ursus-14/700719/3225287/view","Ursus 14","Will Eskridge","United States","10","8","145","346","15","Animal","Spray Paint","1451606400000"
"View of the Indian Ocean from Southern Africa","https://www.saatchiart.com/art/Painting-View-of-the-Indian-Ocean-from-Southern-Africa/816892/3469060/view","View of the Indian Ocean from Southern Africa","susan knight","South Africa","30","39","440","109","7","Beach","Oil","1483228800000"
"Déjà vu","https://www.saatchiart.com/art/Painting-D-j-vu/867774/3517181/view","Déjà vu","Shellie Garber","United States","14","11","190","86","4","Abstract","Acrylic","1491004800000"
"a kiss on the neck","https://www.saatchiart.com/art/Painting-a-kiss-on-the-neck/395217/2405162/view","a kiss on the neck","line arion","Spain","9","6","135","243","10","Men","Acrylic","1427673600000"
"Still Life with Apples and Roses","https://www.saatchiart.com/art/Painting-Still-Life-with-Apples-and-Roses/841936/2771001/view","Still Life with Apples and Roses","Ling Strube","Germany","15","11","220","1056","35","Still Life","Oil","1388534400000"
"Frozen","https://www.saatchiart.com/art/Painting-Frozen/741090/3365811/view","Frozen","Annette Palmer","","9","9","170","215","15","Landscape","Acrylic, Paint","1451606400000"
"watermelon","https://www.saatchiart.com/art/Painting-watermelon/795852/2605991/view","watermelon","Dari Golikova","Ukraine","10","13","150","385","21","Still Life","Oil","1440115200000"
"""martime creatures No. 047""","https://www.saatchiart.com/art/Painting-martime-creatures-No-047/301241/2451157/view","""martime creatures No. 047""","Kunstbetrieb Alujevic","Germany","11","8","135","965","17","Fish","Watercolor","1430697600000"
"Color Field","https://www.saatchiart.com/art/Painting-Color-Field/700924/2643663/view","Color Field","Wolfgang Alt","Germany","6","9","240","884","23","Landscape","Oil","1441065600000"
"Pirouette","https://www.saatchiart.com/art/Painting-Pirouette/867774/3470876/view","Pirouette","Shellie Garber","United States","12","12","190","150","4","Abstract","Acrylic","1488931200000"
"design1FF  16x20","https://www.saatchiart.com/art/Painting-design1FF-16x20/798571/2689491/view","design1FF  16x20","Ron Halfant","United States","20","16","245","786","31","Abstract","Acrylic","1420070400000"
"Color Drop Tree","https://www.saatchiart.com/art/Painting-Color-Drop-Tree/963886/3453494/view","Color Drop Tree","Angeline Tournier","United Kingdom","10","10","255","30","5","Tree","Acrylic","1451606400000"
"Sans Titre","https://www.saatchiart.com/art/Painting-Sans-Titre/651434/3000923/view","Sans Titre","Rodrigue Semabia","United States","6","6","140","604","25","Abstract","Enamel, Acrylic","1451606400000"
"Chocolate","https://www.saatchiart.com/art/Painting-Chocolate/859093/3370372/view","Chocolate","Anne Zamo","France","8","10","135","139","15","Still Life","Oil","1451606400000"
"Landscape 30x40 cm","https://www.saatchiart.com/art/Painting-Landscape-30x40-cm/950236/3338552/view","Landscape 30x40 cm","Egi Pipero","Albania","11","15","200","182","8","Landscape","Oil","1451606400000"
"Mario Guerrero Cardinals","https://www.saatchiart.com/art/Painting-Mario-Guerrero-Cardinals/17309/2222860/view","Mario Guerrero Cardinals","John Kilduff","United States","3","2","135","1272","9","Sports","Oil","1414627200000"
"Cityscape, Figures on the street, Original oil painting, handmade art, One of a kind","https://www.saatchiart.com/art/Painting-Cityscape-Figures-on-the-street-Original-oil-painting-handmade-art-One-of-a-kind/503607/3137269/view","Cityscape, Figures on the street, Original oil painting, handmade art, One of a kind","Vahe Yeremyan","United States","11","14","215","791","27","Cities","Oil","1451606400000"
"Greyhounds","https://www.saatchiart.com/art/Painting-Greyhounds/777511/2866359/view","Greyhounds","Urszula Sakowska","Poland","5","8","180","375","53","Animal","Ink, Watercolor","1457136000000"
"Hidden Circles","https://www.saatchiart.com/art/Painting-Hidden-Circles/940368/3418583/view","Hidden Circles","Kumi Muttucumaraswamy","United Kingdom","24","30","390","59","8","Abstract","Acrylic, Ink","1483228800000"
"Book 11 #29","https://www.saatchiart.com/art/Painting-Book-11-29/599547/2581784/view","Book 11 #29","Heather Goodwind","United States","8","5","290","1261","39","Abstract","Acrylic, Ink, Graphite","1217548800000"
"Book 11 #21","https://www.saatchiart.com/art/Painting-Book-11-21/599547/2569206/view","Book 11 #21","Heather Goodwind","United States","8","5","290","1535","37","Body","Acrylic, Ink, Graphite","1217548800000"
"19mm x 50m 22","https://www.saatchiart.com/art/Painting-19mm-x-50m-22/126029/2066559/view","19mm x 50m 22","Dragomir Misina","United Kingdom","4","4","190","1650","26","Abstract","Acrylic","1402358400000"
"Coquelicots St Antonin","https://www.saatchiart.com/art/Painting-Coquelicots-St-Antonin/781963/2791869/view","Coquelicots St Antonin","Tessa Baker","France","8","11","230","363","17","Floral","Watercolor","1431388800000"
"19mm x 50m 28","https://www.saatchiart.com/art/Painting-19mm-x-50m-28/126029/2075258/view","19mm x 50m 28","Dragomir Misina","United Kingdom","4","4","190","1596","39","Abstract","Acrylic","1404172800000"
"Coming and Going","https://www.saatchiart.com/art/Painting-Coming-and-Going/409703/3388016/view","Coming and Going","Melissa McGill","United States","6","6","260","163","11","Abstract","Oil, Resin, Wax","1483228800000"
"Ocean2","https://www.saatchiart.com/art/Painting-Ocean2/957179/3386041/view","Ocean2","Alyssa Lombardi","United States","11","9","135","111","10","Abstract","Oil, Encaustic, Wax, Paint","1451606400000"
"A Misty Morning by the Lake","https://www.saatchiart.com/art/Painting-A-Misty-Morning-by-the-Lake/820900/2743524/view","A Misty Morning by the Lake","Mirjam Palosaari Eladhari","Malta","5","8","135","1233","29","Landscape","Watercolor","1448150400000"
"Caribbean Fire","https://www.saatchiart.com/art/Painting-Caribbean-Fire/958115/3389579/view","Caribbean Fire","Lance Rodgers","United States","12","12","285","134","7","Abstract","Acrylic, Wood, Resin","1451606400000"
"Portrait 02","https://www.saatchiart.com/art/Painting-Portrait-02/343114/3125828/view","Portrait 02","MILAN ZULIC","Serbia","4","3","178","375","13","Abstract","paint on photography","1451606400000"
"De branding (the surf) at the Zeelandic coast.","https://www.saatchiart.com/art/Painting-De-branding-the-surf-at-the-Zeelandic-coast/56712/2569228/view","De branding (the surf) at the Zeelandic coast.","Nelly van Nieuwenhuijzen","Netherlands","11","11","295","1424","42","Seascape","Acrylic","1420070400000"
"Alphabet Abstract Painting canvas Mixed media & collage","https://www.saatchiart.com/art/Painting-Alphabet-Abstract-Painting-canvas-Mixed-media-collage/416032/2487141/view","Alphabet Abstract Painting canvas Mixed media & collage","Emanuel Mirel Ologeanu","Romania","15","15","240","2080","18","Calligraphy","Acrylic, Textile, Airbrush","1420070400000"
"interior","https://www.saatchiart.com/art/Painting-interior/836094/2790629/view","interior","michael wright","United Kingdom","18","12","280","348","10","Nude","Oil","1421107200000"
"Twist, part of 100paintings project","https://www.saatchiart.com/art/Painting-Twist-part-of-100paintings-project/792144/2872659/view","Twist, part of 100paintings project","Elyce Abrams","United States","12","12","290","391","7","Abstract","Acrylic","1457481600000"
"The Path You Take","https://www.saatchiart.com/art/Painting-The-Path-You-Take/708263/3192038/view","The Path You Take","Linda O'Neill","United States","11","11","290","305","19","Abstract","Acrylic","1451606400000"
"""Warm Breezes""","https://www.saatchiart.com/art/Painting-Warm-Breezes/710107/2961855/view","""Warm Breezes""","Tatiana Iliina","Canada","14","11","185","787","27","Landscape","Acrylic","1451606400000"
"Foggy Seas No. 2","https://www.saatchiart.com/art/Painting-Foggy-Seas-No-2/719467/3305888/view","Foggy Seas No. 2","Ann Marie Coolick","United States","6","6","190","399","21","Seascape","Oil","1451606400000"
"St Ives Lines","https://www.saatchiart.com/art/Painting-St-Ives-Lines/847023/2819565/view","St Ives Lines","Melanie Uys","United Kingdom","15","9","160","307","17","Abstract","Paper, Paint, Watercolor","1454630400000"
"Jungle 4","https://www.saatchiart.com/art/Painting-Jungle-4/962441/3442019/view","Jungle 4","Valérie Auriel","France","19","15","275","94","7","Nature","Oil, Acrylic, Charcoal, Textile","1325376000000"
"Sunflowers","https://www.saatchiart.com/art/Painting-Sunflowers/771034/2922978/view","Sunflowers","Marina Gorkaeva","Russia","16","11","290","415","11","Floral","Acrylic, Gouache, Tempera","1459555200000"
"#37 of 100paintings project","https://www.saatchiart.com/art/Painting-37-of-100paintings-project/792144/2894443/view","#37 of 100paintings project","Elyce Abrams","United States","12","12","290","568","11","Abstract","Acrylic, Spray Paint","1451606400000"
"Serene & Shining","https://www.saatchiart.com/art/Painting-Serene-Shining/710107/3389013/view","Serene & Shining","Tatiana Iliina","Canada","18","14","265","219","20","Cities","Acrylic","1483228800000"
"Alien Smoke","https://www.saatchiart.com/art/Painting-Alien-Smoke/698897/2942193/view","Alien Smoke","Owen Demers","United States","8","10","265","487","12","Abstract","Encaustic","1112486400000"
"Yellow Orchid","https://www.saatchiart.com/art/Painting-Yellow-Orchid/390025/2213051/view","Yellow Orchid","Rosha Nutt","United Kingdom","21","17","260","1808","26","Floral","Acrylic","1412121600000"
"Amber Light","https://www.saatchiart.com/art/Painting-Amber-Light/41974/2628006/view","Amber Light","Paige Smith-Wyatt","United States","12","16","245","455","16","Light","Tempera","1442534400000"
"Behind the curtain","https://www.saatchiart.com/art/Painting-Behind-the-curtain/77603/2447004/view","Behind the curtain","Oksana Reznik","Ukraine","17","13","295","1230","22","Landscape","Watercolor, Digital","1425427200000"
"Sitting people","https://www.saatchiart.com/art/Painting-Sitting-people/426628/2596500/view","Sitting people","Szabrina Maharita","Hungary","8","11","240","920","56","People","Watercolor","1439510400000"
"Zion #04","https://www.saatchiart.com/art/Painting-Zion-04/328886/2606536/view","Zion #04","Shawn Sloan","United States","7","9","135","694","34","Abstract","Watercolor","1420070400000"
"Boat at night","https://www.saatchiart.com/art/Painting-Boat-at-night/968944/3442864/view","Boat at night","Bo Kravchenko","United States","8","10","230","45","4","Boat","Oil","1420070400000"
"Weightless 4","https://www.saatchiart.com/art/Painting-Weightless-4/749680/3322259/view","Weightless 4","Jenny Lundgren","Sweden","11","8","305","242","7","People","Ink","1420070400000"
"The gleam","https://www.saatchiart.com/art/Painting-The-gleam/847827/3132747/view","The gleam","Dina Volkova","United States","12","12","240","141","15","Abstract","Acrylic, Pencil","1451606400000"
"Fear No One","https://www.saatchiart.com/art/Painting-Fear-No-One/735059/2801975/view","Fear No One","Scott Shellhamer","United States","14","11","245","468","8","Mortality","Acrylic, Ink","1377993600000"
"Autumn - Yellow Leaves","https://www.saatchiart.com/art/Painting-Autumn-Yellow-Leaves/730867/2810712/view","Autumn - Yellow Leaves","Bonnie Chan","Hong Kong","23","19","300","284","18","Landscape","Acrylic","1451606400000"
"Vacillation","https://www.saatchiart.com/art/Painting-Vacillation/979132/3536858/view","Vacillation","Voyeux Art","United Kingdom","8","8","215","31","4","Portrait","Oil","1483228800000"
"China landscape grey","https://www.saatchiart.com/art/Painting-China-landscape-grey/781213/2446415/view","China landscape grey","Irina Afonskaya","Bulgaria","11","8","240","752","19","Landscape","Watercolor","694224000000"
"Petals 10","https://www.saatchiart.com/art/Painting-Petals-10/743641/2423358/view","Petals 10","Liz Barber","United States","12","12","260","1211","35","Abstract","Acrylic, Gouache, Ink, Oil, Watercolor","1388534400000"
"Chair 2","https://www.saatchiart.com/art/Painting-Chair-2/865196/3324935/view","Chair 2","John Azoni","United States","9","7","240","224","12","Home","Acrylic","1451606400000"
"Healing Waters #14","https://www.saatchiart.com/art/Painting-Healing-Waters-14/704954/3479897/view","Healing Waters #14","Michal Mitak Mahgerefteh","United States","8","8","240","35","2","Abstract","Pastel","1483228800000"
"Vertical 29","https://www.saatchiart.com/art/Painting-Vertical-29/775995/3278316/view","Vertical 29","Katrin Roth","Germany","7","7","210","184","5","Nature","Oil","1451606400000"
"Book 12 #2","https://www.saatchiart.com/art/Painting-Book-12-2/599547/2618314/view","Book 12 #2","Heather Goodwind","United States","8","5","290","1762","104","Botanic","Acrylic, Pencil","1325203200000"
"Red cistern reflection","https://www.saatchiart.com/art/Painting-Red-cistern-reflection/70461/1935064/view","Red cistern reflection","Aslihan Kaplan Bayrak","Turkey","5","5","185","957","12","Abstract","Oil","1262304000000"
"Early China","https://www.saatchiart.com/art/Painting-Early-China/920521/3197083/view","Early China","Yu Zhan","United States","16","20","285","160","4","Culture","Acrylic","1451606400000"
"Brother in the bathroom","https://www.saatchiart.com/art/Painting-Brother-in-the-bathroom/879674/3465688/view","Brother in the bathroom","Miloš Hronec","Slovakia","8","11","170","114","5","Family","Acrylic, Pencil","1483228800000"
"Striding edge 1","https://www.saatchiart.com/art/Painting-Striding-edge-1/724746/3275100/view","Striding edge 1","Martin Evans","United Kingdom","10","8","135","247","7","Landscape","Spray Paint, Paint, Marker","1451606400000"
"Urban girl....","https://www.saatchiart.com/art/Painting-Urban-girl/481815/3320839/view","Urban girl....","Konrad Biro","","9","7","240","381","9","Women","Oil","1451606400000"
"Some other day, some other time","https://www.saatchiart.com/art/Painting-Some-other-day-some-other-time/928186/3472150/view","Some other day, some other time","Markus Davies","Ireland","12","12","205","54","12","Abstract","Acrylic","1483228800000"
"Dew","https://www.saatchiart.com/art/Painting-Dew/498648/3359414/view","Dew","Lucia Garcia Corrales","Spain","10","7","240","124","13","Abstract","Acrylic","1483228800000"
"When You Come Home (tondo)","https://www.saatchiart.com/art/Painting-When-You-Come-Home-tondo/786967/2893807/view","When You Come Home (tondo)","Elina Plume","Latvia","11","11","260","482","12","Light","Oil","1451606400000"
"The mysterious beauty","https://www.saatchiart.com/art/Painting-The-mysterious-beauty/481815/3089218/view","The mysterious beauty","Konrad Biro","","7","5","195","775","42","Nude","Oil","1451606400000"
"rose hip green","https://www.saatchiart.com/art/Painting-rose-hip-green/840818/2761651/view","rose hip green","michaela knittelfelder-lang","Austria","11","9","280","534","14","Floral","Oil","1230768000000"
"""Spring Bouquet"" oil on linen 20"" x 16""","https://www.saatchiart.com/art/Painting-Spring-Bouquet-oil-on-linen-20-x-16/826892/2921396/view","""Spring Bouquet"" oil on linen 20"" x 16""","georgann gibson","United States","20","16","310","446","16","Abstract","Oil","1451606400000"
"Branches I","https://www.saatchiart.com/art/Painting-Branches-I/749179/2722689/view","Branches I","Marita Putetti","United States","16","20","280","339","21","Botanic","Oil","1425859200000"
"Skull one","https://www.saatchiart.com/art/Painting-Skull-one/663123/3148076/view","Skull one","Chris Oddie","United Kingdom","24","24","230","106","4","Abstract","Oil","1293840000000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/560695/3195185/view","Untitled","Jon Cooper","Canada","12","9","260","347","18","Portrait","Watercolor","1451606400000"
"Green Gate.","https://www.saatchiart.com/art/Painting-Green-Gate/64872/3338534/view","Green Gate.","Nicolai Ostapenco","Moldova","11","11","190","391","10","Landscape","Oil","1451606400000"
"In the Mood","https://www.saatchiart.com/art/Painting-In-the-Mood/719752/2632613/view","In the Mood","Kat Crosby","United States","14","11","190","551","28","Abstract","Acrylic","1441411200000"
"""Solace""","https://www.saatchiart.com/art/Painting-Solace/906024/3415661/view","""Solace""","Regina Buryak","United States","16","12","190","159","14","Portrait","Watercolor, Ink","1483228800000"
"Bumblebee","https://www.saatchiart.com/art/Painting-Bumblebee/909230/3138139/view","Bumblebee","Rosie Mark","United Kingdom","8","8","260","319","14","Nature","Acrylic","1451606400000"
"Vista (20)","https://www.saatchiart.com/art/Painting-Vista-20/314224/2638136/view","Vista (20)","Ad van Riel","Netherlands","8","8","190","708","12","Abstract","Acrylic, Oil","1407456000000"
"Water Plant at Sunset","https://www.saatchiart.com/art/Painting-Water-Plant-at-Sunset/807524/2872982/view","Water Plant at Sunset","Tony Meyer","United States","9","12","150","247","7","Landscape","Watercolor","1388534400000"
"Psalm 95","https://www.saatchiart.com/art/Painting-Psalm-95/836014/3519709/view","Psalm 95","Gina Valenti-Lazarchik","United States","14","14","140","41","13","Abstract","Oil, Watercolor","1483228800000"
"Approach","https://www.saatchiart.com/art/Painting-Approach/792144/2850503/view","Approach","Elyce Abrams","United States","12","12","290","654","8","Abstract","Acrylic","1451606400000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/808474/3462291/view","Untitled","Hiroki Yamashita","Japan","5","7","260","107","2","Abstract","Oil","1483228800000"
"Tree in blossom","https://www.saatchiart.com/art/Painting-Tree-in-blossom/781213/2472067/view","Tree in blossom","Irina Afonskaya","Bulgaria","7","10","190","537","17","Tree","Watercolor","694224000000"
"Capitoline Wolf (Lupa Capitolina)","https://www.saatchiart.com/art/Painting-Capitoline-Wolf-Lupa-Capitolina/680155/2908024/view","Capitoline Wolf (Lupa Capitolina)","Artur Samofalov","","10","9","200","370","9","Culture","Watercolor","1451606400000"
"Cherry Bomb","https://www.saatchiart.com/art/Painting-Cherry-Bomb/867774/3379007/view","Cherry Bomb","Shellie Garber","United States","24","18","250","332","10","Abstract","Acrylic","1484697600000"
"scotty's stone daily 117, 28 feb 2017","https://www.saatchiart.com/art/Painting-scotty-s-stone-daily-117-28-feb-2017/301909/3457336/view","scotty's stone daily 117, 28 feb 2017","Scott Hollingsworth","Spain","13","9","234","71","3","Nature","Watercolor, Acrylic","1483228800000"
"Sweet Smells","https://www.saatchiart.com/art/Painting-Sweet-Smells/774244/3468815/view","Sweet Smells","krista may","United States","20","16","325","56","2","Floral","Acrylic","1483228800000"
"Frau mit Hut","https://www.saatchiart.com/art/Painting-Frau-mit-Hut/448765/2461974/view","Frau mit Hut","Mila Plaickner","Austria","39","27","340","1206","21","Abstract","Acrylic, Oil","1420070400000"
